变量名,typeSeqID,weight,group,desc,desc_tw,desc_en,desc_vn,desc_kr,choice1,choice1_tw,choice1_en,choice1_vn,choice1_kr,choice2,choice2_tw,choice2_en,choice2_vn,choice2_kr,choice3,choice3_tw,choice3_en,choice3_vn,choice3_kr,choice4,choice4_tw,choice4_en,choice4_vn,choice4_kr,answer,imgID
默认值,,0,0,"""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""","""""",1,
ID,问题类型索引id,同组内随机权重,组,问题描述,问题描述,问题描述,问题描述,问题描述,选项1,选项2,选项3,选项4,选项5,选项2,选项3,选项4,选项5,选项6,选项3,选项4,选项5,选项6,选项7,选项4,选项5,选项6,选项7,选项8,答案,资源
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,50,101,动画中小智第一只获得的精灵是什么？,動畫中小智第一只獲得的精靈是什麽？,What was the first Pokémon that Ash obtained in the animation?,404,404,皮卡丘,皮卡丘,Pikachu,404,404,小火龙,小火龍,Charmander,404,404,杰尼龟,傑尼龜,Squirtle,404,404,妙蛙种子,妙蛙種子,Bulbasaur,404,404,1,
2,1,50,101,动画中小智的母亲叫什么名字？,動畫中小智的母親叫什麽名字？,What is the name of Ash's mother in the animation?,404,404,花子,花子,Delia,404,404,美津子,美津子,Caroline,404,404,彩子,彩子,Johanna,404,404,露莎米奈,露莎米奈,Lusamine,404,404,1,
3,1,50,101,动画中以下哪位女生不会喜欢小智？,動畫中以下哪位女生不會喜歡小智？,Which of the following girls in the animation would not like Ash?,404,404,武藏,武藏,Jessie,404,404,小霞,小霞,Misty,404,404,小萌,小萌,Macy,404,404,莎莉娜,莎莉娜,Serena,404,404,1,
4,1,50,101,动画中小刚曾和父亲担任过相同的道馆馆主，这个道馆的名字是？,動畫中小剛曾和父親擔任過相同的道館館主，這個道館的名字是？,"In the animation, Brock and his father served as the same Leader of the Gym. What is the name of this Gym?",404,404,深灰道馆,深灰道館,Pewter Gym,404,404,华蓝道馆,華藍道館,Cerulean Gym,404,404,常青道馆,常青道館,Viridian Gym,404,404,枯叶道馆,枯葉道館,Vermilion Gym,404,404,1,
5,1,50,101,动画中火箭队口中的“小鬼头”大多时候指的谁？,動畫中火箭隊口中的“小鬼頭”大多時候指的誰？,"Who is the “twerp"" by the Team Rocket in the animation most of the time?",404,404,小智,小智,Ash,404,404,小刚,小剛,Brock,404,404,小霞,小霞,Misty,404,404,皮卡丘,皮卡丘,Pikachu,404,404,1,
6,1,50,102,动画中武藏在城都地区得到的第一只精灵是哪只精灵？,動畫中武藏在城都地區得到的第一只精靈是哪只精靈？,"In the anime, which was the first Pokémon that Jessie got in the Johto area?",404,404,果然翁,果然翁,Wobbuffet,404,404,大舌头,大舌頭,Lickitung,404,404,宝石海星,寶石海星,Starmie,404,404,喵喵,喵喵,Meowth,404,404,1,
7,1,50,102,动画中，以下关于武藏说法错误的是哪一项？,動畫中，以下關於武藏說法錯誤的是哪一項？,"In the animation, which of the following statements about Jessie is wrong?",404,404,自幼养尊处优,自幼養尊處優,Pampered since childhood,404,404,出生于火箭队世家,出生於火箭隊世家,Born in a Team Rocket family,404,404,曾希望成为一名精灵护士,曾希望成為一名精靈護士,She wanted to be an Pokémon nurse,404,404,曾做过电视台主播,曾做過電視臺主播,Used to be a TV anchor,404,404,1,
8,1,50,102,动画中，以下关于火箭队说法错误的是哪一项？,動畫中，以下關於火箭隊說法錯誤的是哪一項？,"In the animation, which one of the following statements about the Team Rocket is wrong?",404,404,火箭队最初是由坂木创立的,火箭隊最初是由阪木創立的,Team Rocket were originally founded by Giovanni,404,404,一家股票上市公司,一家股票上市公司,A stock company,404,404,大型跨国、跨地区的公司,大型跨國、跨地區的公司,Large multinational and multi-regional company,404,404,为每一位队员提供完善的福利待遇,為每一位隊員提供完善的福利待遇,Provide complete benefits for each team member,404,404,1,
9,1,50,102,动画中，以下关于小次郎说法错误的是哪一项？,動畫中，以下關於小次郎說法錯誤的是哪一項？,"In the animation, which one of the following statements about James is wrong?",404,404,心底温柔也很残忍,心底溫柔也很殘忍,With a tender heart but also cruel,404,404,超级富二代,超級富二代,Super rich kid,404,404,曾设计过畅销瓶盖徽章,曾設計過暢銷瓶蓋徽章,Have designed a best-selling bottle cap badge,404,404,一名黑客,一名黑客,A hacker,404,404,1,
10,1,50,103,动画中，没有出现过以下哪只异色精灵？,動畫中，沒有出現過以下哪只異色精靈？,Which of the following shiny Pokémon did not appear in the animation?,404,404,梦幻,夢幻,Mew,404,404,巨金怪,巨金怪,Metagross,404,404,鲤鱼王,鯉魚王,Magikarp,404,404,巴大蝶,巴大蝶,Butterfree,404,404,1,
11,1,50,104,剧场版动画【骑拉帝纳与冰空的花束】中，谢米的特殊能力是什么？,劇場版動畫【騎拉帝納與冰空的花束】中，謝米的特殊能力是什麽？,What are Shaymin's special abilities in the movie [Giratina and the Sky Warrior]?,404,404,花之传递,花之傳遞,Flower Delivery,404,404,花海召唤,花海召喚,Flower Field Summon,404,404,花之眷顾,花之眷顧,Favor of Flowers,404,404,花之复苏,花之復蘇,Flower Recovery,404,404,1,
12,1,50,104,剧场版动画【光环的超魔神】中，胡帕的真身因为100年前的肆虐而被封印，封印胡帕的道具是？,劇場版動畫【光環的超魔神】中，胡帕的真身因為100年前的肆虐而被封印，封印胡帕的道具是？,"In the movie Hoopa and the Clash of Ages], Hoopa was sealed because of the raging 100 years ago. What was the item that sealed Hoopa?",404,404,惩戒之壶,懲戒之壺,Prison Bottle,404,404,封印之壶,封印之壺,Imprison Bottle,404,404,救赎之壶,救贖之壺,Redemption Bottle,404,404,审判之壶,審判之壺,Judgment Bottle,404,404,1,
13,1,50,104,剧场版动画【超梦的逆袭:进化】中，是谁被超梦控制了？,劇場版動畫【超夢的逆襲:進化】中，是誰被超夢控制了？,"In the movie  [Mewtwo Strikes Back: Evolution], who is being controlled by Mewtwo?",404,404,乔伊小姐,喬伊小姐,Nurse Joy,404,404,君莎小姐,君莎小姐,Jenny,404,404,梦幻,夢幻,Mew,404,404,小霞,小霞,Misty,404,404,1,
14,1,50,104,剧场版动画【结晶塔的帝王】中，小美与她的的父亲秀力博士居住的地方叫什么？,劇場版動畫【結晶塔的帝王】中，小美與她的的父親秀力博士居住的地方叫什麽？,"In the movie ""The Spell of the Unown"", what is the name of the place where Molly Hale lives with her father, Spencer Hale?",404,404,绿色草原,綠色草原,Greenfield,404,404,阿露福遗迹,阿露福遺跡,Ruins of Alph,404,404,秘密花园,秘密花園,Secret garden,404,404,龙之圣域,龍之聖域,Dragon Holy Land,404,404,1,
15,1,30,105,本游戏中，精灵的单项个体值上限值是多少？,本遊戲中，精靈的單項個體值上限值是多少？,"In this game, what is the upper limit of the individual value of the Pokémon?",404,404,31,31,31,404,404,30,30,30,404,404,35,35,35,404,404,41,41,41,404,404,1,
16,1,30,105,本游戏中，以下哪种方式可以获取到永久称号？,本遊戲中，以下哪種方式可以獲取到永久稱號？,"In this game, which of the following ways can I get the permanent title?",404,404,体力值达到3000,體力值達到3000,Energy reaches 3000,404,404,竞技场第一名,競技場第一名,First place in the arena,404,404,成为道馆荣誉馆主,成為道館榮譽館主,Become the Honor Gym Leader,404,404,图鉴排行第一名,圖鑒排行第一名,Pokédex ranked 1st place,404,404,1,
17,1,30,105,本游戏中，以下哪种属性无法通过继承和其他精灵交换？,本遊戲中，以下哪種屬性無法通過繼承和其他精靈交換？,"In this game, which of the following status cannot be exchanged with other Pokémon through inheritance?",404,404,星级,星級,Star,404,404,性格,性格,Nature,404,404,努力值,努力值,Effort value,404,404,好感度,好感度,Favorability,404,404,1,
18,1,30,105,本游戏中，以太乐园最高有多少层？,本遊戲中，以太樂園最高有多少層？,"In this game, how many floors are there in the highest level of Aether Paradise?",404,404,7,7,7,404,404,8,8,8,404,404,10,10,10,404,404,6,6,6,404,404,1,
19,1,30,105,本游戏中，日常副本无法获取到以下哪种道具？,本遊戲中，日常副本無法獲取到以下哪種道具？,"In this game, which of the following items can not be obtained in the daily dungeon?",404,404,神兽万能碎片,神獸萬能碎片,Legendary Universal Shard,404,404,金币道具,金幣道具,Coin props,404,404,经验道具,經驗道具,EXP props,404,404,好感度礼物,好感度禮物,Friendship gift,404,404,1,
20,1,30,105,本游戏中，竞技场每晚几点结算排名奖励？,本遊戲中，競技場每晚幾點結算排名獎勵？,"In this game, what time does the Arena settle the ranking reward every night?",404,404,每天21:00,每天21:00,21:00 each day,404,404,每天21:30,每天21:30,21:30 every day,404,404,每天22:00,每天22:00,Every day at 22:00,404,404,每天20:30,每天20:30,20:30 every day,404,404,1,
21,1,30,105,本游戏中，精灵星级达到多少后开启极限属性培养？,本遊戲中，精靈星級達到多少後開啟極限屬性培養？,"In this game, how many stars level will Pokémon unlock the extreme attribute training?",404,404,12,12,12,404,404,4,4,4,404,404,8,8,8,404,404,10,10,10,404,404,1,
22,1,50,106,哪只精灵不可以超进化？,哪只精靈不可以超進化？,Which Pokémon cannot be Mega evolution?,404,404,罗丝雷朵,羅絲雷朵,Roserade,404,404,喷火龙,噴火龍,Charizard,404,404,大钢蛇,大鋼蛇,Steelix,404,404,勾魂眼,勾魂眼,Sableye,404,404,1,
23,1,50,106,以下哪只精灵可以超进化？,以下哪只精靈可以超進化？,Which of the following Pokémon can be Mega evolution?,404,404,电龙,電龍,Ampharos,404,404,皮卡丘,皮卡丘,Pikachu,404,404,樱花鱼,櫻花魚,Gorebyss,404,404,漂浮泡泡,漂浮泡泡,Castform,404,404,1,
24,1,50,106,以下哪只精灵进化后有多种分支形态？,以下哪只精靈進化後有多種分支形態？,Which of the following Pokémon has multiple evolution branch?,404,404,无畏小子,無畏小子,Tyrogue,404,404,小磁怪,小磁怪,Magnemite,404,404,搬运小匠,搬運小匠,Timburr,404,404,凯西,凱西,Abra,404,404,1,
25,1,50,106,以下哪只精灵进化后会成为蚊香君,以下哪只精靈進化後會成為蚊香君,Which of the following Pokémon will evolve to become Poliwhirl?,404,404,蚊香蝌蚪,蚊香蝌蚪,Poliwag,404,404,蚊香泳士,蚊香泳士,Poliwrath,404,404,蚊香蛙皇,蚊香蛙皇,Politoed,404,404,水跃鱼,水躍魚,Mudkip,404,404,1,
26,1,50,106,喷火龙超进化为X形态后尾部火焰是什么颜色？,噴火龍超進化為X形態後尾部火焰是什麽顏色？,"After Charizard Mega-evolve into the X form, what color is the tail flame?",404,404,蓝色,藍色,Blue,404,404,红色,紅色,Red,404,404,紫色,紫色,Purple,404,404,橙色,橙色,Orange,404,404,1,
27,1,50,111,闪光烈空座是什么颜色？,閃光烈空座是什麽顏色？,What color is the shiny Rayquaza?,404,404,黑色,黑色,Black,404,404,金色,金色,Golden,404,404,白色,白色,White,404,404,绿色,綠色,Green,404,404,1,
28,1,50,112,绿毛虫是否能够进化为烈空座？,綠毛蟲是否能夠進化為烈空座？,Can the Caterpie evolve into Rayquaza?,404,404,不能，不同种族,不能，不同種族,"No, different races",404,404,可以，明明长得很像,可以，明明長得很像,"Yes, it looks very similar",404,404,可以，跨种族进化,可以，跨種族進化,"Yes, interracial evolution",404,404,无法考证,無法考證,Unable to verify,404,404,1,
29,2,50,201,动画中小智的皮卡丘是什么性别？,動畫中小智的皮卡丘是什麽性別？,What is the gender of Ash’s Pikachu in the animation?,404,404,雄性,雄性,Male,404,404,雌性,雌性,Female,404,404,无性别,無性別,No gender,404,404,无法考证,無法考證,Unable to verify,404,404,1,
30,2,50,201,动画中小智收服的以下精灵中，哪只是最重的？,動畫中小智收服的以下精靈中，哪只是最重的？,"The following Pokémon that Ash got in the animation, which is the heaviest?",404,404,美录梅塔,美錄梅塔,Melmetal,404,404,大钢蛇,大鋼蛇,Steelix,404,404,卡比兽,卡比獸,Snorlax,404,404,土台龟,土臺龜,Torterra,404,404,1,
31,2,50,201,动画中皮卡丘没有模仿过谁？,動畫中皮卡丘沒有模仿過誰？,Who did Pikachu not imitate in the animation?,404,404,瓦斯弹,瓦斯彈,Koffing,404,404,喵喵,喵喵,Meowth,404,404,果然翁,果然翁,Wobbuffet,404,404,森林蜥蜴,森林蜥蜴,Grovyle,404,404,1,
32,2,50,201,动画中小刚原本是一位道馆馆主，在和小智一行旅行后，又决定成为一名？,動畫中小剛原本是一位道館館主，在和小智一行旅行後，又決定成為一名？,"In the animation, Brock was originally a Leader of Gym. After traveling with Ash and his party, he decided to become one?",404,404,精灵医生,精靈醫生,Pokémon Doctor,404,404,精灵表演家,精靈表演家,Pokémon showman,404,404,精灵大师,精靈大師,Pokémon Master,404,404,精灵博士,精靈博士,Pokémon Professor,404,404,1,
33,2,50,201,动画中小刚的父亲是谁？,動畫中小剛的父親是誰？,Who is Brock's father in the animation?,404,404,武能,武能,Flint,404,404,武藏,武藏,Jessie,404,404,小米,小米,Lola,404,404,小光,小光,Dawn,404,404,1,
34,2,50,201,动画中小霞曾拥有的哪只精灵不会游泳？,動畫中小霞曾擁有的哪只精靈不會遊泳？,Which Pokémon Misty owned in the animation can't swim?,404,404,可达鸭,可達鴨,Psyduck,404,404,暴鲤龙,暴鯉龍,Gyarados,404,404,海星星,海星星,Staryu,404,404,蚊香蛙皇,蚊香蛙皇,Politoed,404,404,1,
35,2,50,201,动画中小霞最不能接受哪种属性的精灵？,動畫中小霞最不能接受哪種屬性的精靈？,What type of Pokémon is the least acceptable to Misty in the animation?,404,404,虫系,蟲系,Bug Type,404,404,冰系,冰系,Ice type,404,404,草系,草系,Grass type,404,404,电系,電系,Electric Type,404,404,1,
36,2,50,201,动画中小霞成为华蓝道馆馆主后，克服了对哪只精灵的心理恐惧？,動畫中小霞成為華藍道館館主後，克服了對哪只精靈的心理恐懼？,"In the animation, after Misty became the Gym Leader of the Cerulean Gym, which Pokémon has she overcome her fear?",404,404,暴鲤龙,暴鯉龍,Gyarados,404,404,鲤鱼王,鯉魚王,Magikarp,404,404,可达鸭,可達鴨,Psyduck,404,404,派拉斯,派拉斯,Paras,404,404,1,
37,2,50,201,动画中小智的哪只精灵因为喜欢上武藏，小智只好忍痛割爱将它借给武藏参加华丽大赛？,動畫中小智的哪只精靈因為喜歡上武藏，小智只好忍痛割愛將它借給武藏參加華麗大賽？,"Which Pokémon of Ash in the animation loves Jessie, and Ash had to give up and lend it to Jessie to participate in the Pokémon contest?",404,404,长尾怪手,長尾怪手,Aipom,404,404,皮卡丘,皮卡丘,Pikachu,404,404,妙蛙种子,妙蛙種子,Bulbasaur,404,404,魔墙人偶,魔墻人偶,Mr. Mime,404,404,1,
38,2,50,202,动画中以下没有穿过女装的是谁？,動畫中以下沒有穿過女裝的是誰？,Who is the following who did not wear girl's cloth in the animation?,404,404,小刚,小剛,Brock,404,404,喵喵,喵喵,Meowth,404,404,小次郎,小次郎,James,404,404,小智,小智,Ash,404,404,1,
39,2,50,202,动画中唯一一个不以传说精灵为目标的敌对组织是哪个,動畫中唯一一個不以傳說精靈為目標的敵對組織是哪個,Which is the only opponent organization in the animation that does not aim legendary Pokémon as target?,404,404,火箭队,火箭隊,Team Rocket,404,404,熔岩队,熔巖隊,Team Magma,404,404,海洋队,海洋隊,Team Aqua,404,404,等离子队,等離子隊,Team Plasma,404,404,1,
